week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,feature_set,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN,lcpo,2,BBB,2013B,full,0.8176250368173292,0.879020993249881,0.7497446373850868,0.738430583501006,0.7614107883817427,0.7188124925719424
8,GNN,lcpo,2,BBB,2013B,full,0.7970215426590121,0.8680831844936935,0.7253886010362695,0.6643658326143227,0.7987551867219918,0.657160905938829
8,GNN,lcpo,2,BBB,2013B,full,0.8336786841874092,0.8872861734063191,0.766951566951567,0.8508217446270544,0.6981327800829875,0.7755919193067491
8,GNN,lcpo,2,BBB,2013B,full,0.8428171328472585,0.8900898711081476,0.7610405323653963,0.9129172714078374,0.6524896265560166,0.7888849129044093
8,GNN,lcpo,3,BBB,2013J,full,0.8419295688937288,0.8853787662790737,0.7546628407460545,0.8520518358531317,0.6772532188841202,0.7747273557107168
8,GNN,lcpo,3,BBB,2013J,full,0.8470909935302031,0.8897354971964548,0.7186659494351803,0.962536023054755,0.5733905579399141,0.7745684132983153
8,GNN,lcpo,3,BBB,2013J,full,0.844499871885209,0.8904756762139423,0.708764289602613,0.96875,0.5587982832618026,0.7696043655114984
8,GNN,lcpo,3,BBB,2013J,full,0.813336749727756,0.8688239626844021,0.7406380027739251,0.8026052104208417,0.6875536480686695,0.7518924956761257
8,GNN,lcpo,3,BBB,2013J,full,0.8336941899942347,0.8808906233383713,0.6984649122807017,0.9666160849772384,0.5467811158798284,0.7631293639100634
8,GNN,lcpo,4,BBB,2014B,full,0.8538863755623933,0.9046877168809048,0.7652060170045781,0.9097978227060654,0.6602708803611738,0.7902454814460614
8,GNN,lcpo,4,BBB,2014B,full,0.851796709319042,0.9042547211738012,0.7428571428571429,0.970856102003643,0.6015801354401806,0.789785941172635
8,GNN,lcpo,4,BBB,2014B,full,0.8470507139951747,0.9015788788740046,0.74949358541526,0.9327731092436976,0.626410835214447,0.7856951012385852
8,GNN,lcpo,4,BBB,2014B,full,0.8408158702854428,0.89687795014377,0.7650145772594752,0.7913148371531966,0.7404063205417607,0.75122104197652
8,GNN,lcpo,4,BBB,2014B,full,0.8564992346170446,0.9054207405022876,0.7723270440251573,0.8721590909090909,0.6930022573363431,0.7846029168387355
8,GNN,lcpo,5,BBB,2014J,full,0.8497791788499025,0.8883563351155546,0.7837969741337237,0.8833883388338833,0.7043859649122807,0.8061860380116959
8,GNN,lcpo,5,BBB,2014J,full,0.8511939571150098,0.8903651667393849,0.783609576427256,0.8246124031007752,0.7464912280701754,0.7946865862573099
8,GNN,lcpo,5,BBB,2014J,full,0.8589303118908381,0.8939416644969709,0.7760791366906474,0.7961254612546126,0.7570175438596491,0.7825886330409357
8,GNN,lcpo,5,BBB,2014J,full,0.8607478983918128,0.8959230669539708,0.7874564459930313,0.9102416570771,0.6938596491228071,0.8130756578947369
8,GNN,lcpo,5,BBB,2014J,full,0.8484748111598441,0.8874432682790185,0.7352380952380952,0.6498316498316499,0.8464912280701754,0.6975511695906433
